shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Liberate Nitro 2 Women's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=01&referrer-category=womens-shoes,Women,,,377316_01,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Liberate Nitro 2 Women's Running Shoes,"₹6,599","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=01&referrer-category=womens-shoes,Women,,,377316_04,Running Shoes,,,,4,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Liberate Nitro 2 Women's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=01&referrer-category=womens-shoes,Women,,,377316_07,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
Liberate Nitro 2 Women's Running Shoes,"₹8,799","₹10,999",https://in.puma.com/in/en/pd/liberate-nitro-2-womens-running-shoes/377316?swatch=01&referrer-category=womens-shoes,Women,,,377316_08,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA Silver,Ravish-Fresh Pear-PUMA Silver,Icy Blue-PUMA Silver-Regal Blue,Frosty Pink-Koral Ice-Speed Green,
ForeverRun NITRO Women's Running Shoes,"₹8,399","₹13,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=09&referrer-category=womens-shoes,Women,,,377758_01,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
ForeverRun NITRO Women's Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=09&referrer-category=womens-shoes,Women,,,377758_02,Running Shoes,,,,5,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
ForeverRun NITRO Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=09&referrer-category=womens-shoes,Women,,,377758_08,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
ForeverRun NITRO Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/foreverrun-nitro-womens-running-shoes/377758?swatch=09&referrer-category=womens-shoes,Women,,,377758_09,Running Shoes,,,,6,4,Puma,PUMA Black-PUMA White,Elektro Purple-Fizzy Lime,PUMA Black-Koral Ice-PUMA Silver,Fire Orchid-PUMA Black-PUMA Silver,
Voyage NITRO 3 Women's Running Shoes,"₹10,399","₹12,999",https://in.puma.com/in/en/pd/voyage-nitro-3-womens-running-shoes/377746?swatch=03&referrer-category=womens-shoes,Women,,,377746_03,Running Shoes,,,,6,2,Puma,Cool Dark Gray-Koral Ice,Eucalyptus-Alpine Snow-PUMA Black,,,
Voyage NITRO 3 Women's Running Shoes,"₹10,399","₹12,999",https://in.puma.com/in/en/pd/voyage-nitro-3-womens-running-shoes/377746?swatch=03&referrer-category=womens-shoes,Women,,,377746_04,Running Shoes,,,,5,2,Puma,Cool Dark Gray-Koral Ice,Eucalyptus-Alpine Snow-PUMA Black,,,
Deviate NITRO 2 Women's Running Shoes,"₹8,999","₹14,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_04,Running Shoes,,,,2,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹11,999","₹14,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_06,Running Shoes,,,,2,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_10,Running Shoes,,,,5,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_11,Running Shoes,,,,6,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_17,Running Shoes,,,,6,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_20,Running Shoes,,,,6,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17&referrer-category=womens-shoes,Women,,,376855_22,Running Shoes,,,,6,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹8,999","₹14,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=20&referrer-category=womens-shoes,Women,,,376855_04,Running Shoes,,,,2,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹11,999","₹14,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=20&referrer-category=womens-shoes,Women,,,376855_06,Running Shoes,,,,2,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=20&referrer-category=womens-shoes,Women,,,376855_10,Running Shoes,,,,5,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹9,599","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=20&referrer-category=womens-shoes,Women,,,376855_11,Running Shoes,,,,6,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
Deviate NITRO 2 Women's Running Shoes,"₹12,799","₹15,999",https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=20&referrer-category=womens-shoes,Women,,,376855_17,Running Shoes,,,,6,7,Puma,Sunset Glow-Puma Black,Fizzy Apple-Metallic Silver,Royal Sapphire-Elektro Purple,Spring Lavender-PUMA Black,PUMA Black-Fire Orchid
